index,dE_c,dE_o,dE_n,dE_h,d_band_center,d_band_filling,d_band_width,d_band_upperedge
Rh_minus_2_surface_Fe,-7.2290848300000095,-5.228979740000003,-5.4059484199999845,-2.74853115000002,-1.4444987964526477,0.7530322309461985,4.58228727445842,0.11119999999999974
Rh_minus_2_surface_Co,-7.2342435999999894,-5.223829879999986,-5.415943479999979,-2.7504106900000242,-1.4892173875332266,0.7717599248830496,4.5463979799326175,1.2044000000000001
Rh_minus_2_surface_Ni,-7.4269493399999975,-5.4155169499999865,-5.559230700000026,-2.8007011500000094,-1.452725937975424,0.739006889753757,4.3607041761803735,0.883
Rh_minus_2_surface_Cu,-7.767787029999998,-5.750559540000044,-5.88348564999998,-2.912739079999995,-1.2912014719840288,0.7166699311030605,4.145908699041753,0.39780000000000015
Rh_minus_2_surface_Ru,-7.170146989999954,-5.222591000000026,-5.325261359999982,-2.697851429999958,-1.718408985560942,0.7656799399522699,4.690974871812953,1.2662
Rh_minus_2_surface_Rh,-7.40432225000004,-5.434330820000017,-5.5012764199999795,-2.7958100800000243,-1.55988689446191,0.7478427746042664,4.464078134010092,0.8696999999999995
Rh_minus_2_surface_Pd,-7.727567399999974,-5.693316250000013,-5.826257899999999,-2.8739269000000154,-1.3756945546875896,0.7164281256322984,4.163536211317197,0.6012999999999997
Rh_minus_2_surface_Ag,-8.03351504999998,-5.935414349999977,-6.095537790000006,-2.9679273900000003,-1.197940265313004,0.7228301006033846,3.8095135159018794,0.4498000000000002
Rh_minus_2_surface_Ir,-7.355458410000016,-5.389341890000029,-5.427183039999957,-2.7941358799999994,-1.6906672523548323,0.7518042014785364,4.634332752997709,1.2052000000000005
Rh_minus_2_surface_Pt,-7.642495579999978,-5.643736800000003,-5.738307910000029,-2.8602574500000064,-1.4483894279460654,0.7662180136192781,4.398233677912002,0.5935999999999999
Rh_minus_2_surface_Au,-8.032528270000032,-5.926479099999998,-6.108026420000013,-2.9611272900000363,-1.2502814084268925,0.7493162159901717,3.9666633424509645,0.34899999999999975
Rh_minus_1_surface_Fe,-7.3330887800000015,-5.246136210000035,-5.490563589999991,-2.7709373300000384,-1.4009265939139417,0.740062663431412,4.357489195350634,0.26739999999999986
Rh_minus_1_surface_Co,-7.341233469999996,-5.2408968100000415,-5.493758740000001,-2.7725597200000043,-1.442601541111782,0.7705323463441288,4.32371024463892,1.1879
Rh_minus_1_surface_Ni,-7.547774419999972,-5.446838170000039,-5.652995300000012,-2.8246380100000015,-1.4023199486032534,0.7577464108434065,4.176678584188901,0.7641999999999998
Rh_minus_1_surface_Cu,-7.923278939999965,-5.818074489999962,-5.996840420000038,-2.949783080000032,-1.240326697371235,0.75464936140695,3.9206912959096343,0.3466999999999998
Rh_minus_1_surface_Ru,-7.24936953,-5.233547400000024,-5.389156009999991,-2.711895690000006,-1.670712117289033,0.7715087257015026,4.439340417539721,1.3024999999999998
Rh_minus_1_surface_Rh,-7.502731430000016,-5.46697434999999,-5.576746790000041,-2.815012379999985,-1.514777135805625,0.7559402448856936,4.2724664226659215,0.9123000000000001
